Week,Sam R.,Mike M.,Andrew D.,Lee D.,Christopher M.,Bryan C.,Garrett T.,Mike C.,Brad R.,Peter R.
1,75,53,91,85,47,77,83,79,63,79
2,191,105,172,187,140,146,161,163,142,138
3,289,180,236,263,227,218,239,245,200,221
4,386,275,348,375,323,300,326,348,285,285
5,463,354,421,457,393,393,383,436,345,356
6,527,437,529,543,477,484,444,516,424,466
7,615,508,645,646,540,565,516,595,486,560
8,708,582,746,736,607,649,576,668,581,651
9,801,678,842,819,675,705,656,745,671,728
10,900,765,935,915,745,780,739,828,748,833
