Week,Sam R.,Mike M.,Andrew D.,Lee D.,Christopher M.,Bryan C.,Garrett T.,Mike C.,Brad R.,Peter R.
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.649,4.468,3.898,5.503,3.042,3.653,4.311,4.0,3.789,1.946
2,3.583,3.578,4.008,6.799,4.53,3.351,5.361,3.416,4.445,2.584
3,3.772,3.662,4.043,6.045,5.07,2.631,5.066,3.406,3.783,3.694
4,3.899,3.696,3.925,5.915,4.56,3.375,4.947,3.868,3.658,3.567
5,3.644,4.181,4.172,5.431,4.355,3.385,4.761,3.901,3.576,3.398
6,3.552,4.246,3.879,5.221,4.309,3.085,4.68,3.846,3.438,3.517
7,3.355,4.135,3.681,5.085,4.682,2.967,4.986,3.743,3.488,3.56
8,3.203,3.837,3.669,5.097,4.954,2.763,4.806,3.771,3.585,3.611
9,3.27,3.743,3.745,4.801,4.774,2.986,4.513,3.909,3.547,3.587
10,3.212,3.887,3.564,4.846,5.085,3.006,4.393,3.846,3.709,3.724
11,3.327,3.783,3.474,4.689,5.295,3.492,4.221,3.756,3.713,3.502
12,3.209,4.12,3.401,4.661,4.965,3.649,4.361,3.785,3.688,3.476
13,3.164,4.0,3.3,4.617,5.001,3.673,4.292,3.668,3.622,3.396
14,3.111,3.89,3.32,4.568,4.992,3.797,4.282,3.643,3.597,3.431
15,3.351,3.943,3.34,4.37,4.482,3.948,4.346,3.768,3.754,3.734
16,3.352,4.104,3.475,4.317,4.637,3.936,4.236,4.067,3.811,3.764
19,3.402,4.195,3.413,4.405,4.573,3.833,4.229,3.984,3.663,4.108
20,3.382,4.185,3.474,4.429,4.58,3.77,4.241,3.995,3.585,4.025
